phase,correct_symbol,rt_mean,rt_median_mean,rt_sem,n_subjects,n_subject_phase_symbol,n_correct_rt_total
learning,기역,1.8045908800140023,1.205264399992302,,1,1,25
learning,니은,1.5746090500227485,1.1445931498892605,,1,1,24
learning,디귿,1.446865266674043,1.3995187998516485,,1,1,24
learning,리을,1.7730520087010835,1.537029400002211,,1,1,23
learning,미음,2.069941434985958,1.6866963499924168,,1,1,20
learning,비읍,1.9625985958652261,1.6264805500395596,,1,1,24
learning,시옷,1.752650752386433,1.654181599849835,,1,1,21
learning,이응,1.8658277962822467,1.5403549999464303,,1,1,27
learning,지읒,1.7264916565390709,1.5076706998515874,,1,1,23
retention,기역,1.427313233318273,1.074882699875161,,1,1,12
retention,니은,1.1366715166950598,0.996488849981688,,1,1,12
retention,디귿,2.164450075031103,1.3420653000939637,,1,1,12
retention,리을,1.3820630499976687,1.235199100105092,,1,1,12
retention,미음,1.5143243499527064,1.3285749999340624,,1,1,12
retention,비읍,1.7520254500753556,1.3865611001383513,,1,1,12
retention,시옷,1.8593256750221674,1.4891008001286536,,1,1,12
retention,이응,1.5670234250331607,1.1786157499300316,,1,1,12
retention,지읒,1.8891384666591573,1.6578571499558166,,1,1,12
